pol,utdate,obsnum,subsysnr,object,molecule,transition,obs_sb,peak,tsys,bwmode
p1,20200629,59,1,W3(OH),CO,2-1,LSB,19.7085,105.9188,250MHzx8192
p1,20200701,75,1,W3(OH),CO,2-1,LSB,16.4055,130.6224,250MHzx8192
both,20200629,59,1,W3(OH),CO,2-1,LSB,20.5525,113.8664,250MHzx8192
both,20200701,75,1,W3(OH),CO,2-1,LSB,17.1095,141.6465,250MHzx8192
p0,20200629,59,2,W3(OH),CO,2-1,LSB,21.718000000000000,125.3303,1000MHzx2048
p0,20200701,75,2,W3(OH),CO,2-1,LSB,18.1371,156.3051,1000MHzx2048
p1,20200629,59,2,W3(OH),CO,2-1,LSB,19.5646,107.9321,1000MHzx2048
p1,20200701,75,2,W3(OH),CO,2-1,LSB,16.154,132.8596,1000MHzx2048
both,20200629,59,2,W3(OH),CO,2-1,LSB,20.4832,115.6617,1000MHzx2048
both,20200701,75,2,W3(OH),CO,2-1,LSB,16.9867,143.1625,1000MHzx2048
p0,20200629,53,1,N7538IRS1,CH3OH,5-4,LSB,1.52614,121.1088,250MHzx8192
p0,20200701,71,1,N7538IRS1,CH3OH,5-4,LSB,1.6423900000000000,144.6012,250MHzx8192
p0,20200629,53,2,N7538IRS1,CH3OH,5-4,LSB,1.4530100000000000,120.8867,1000MHzx2048
p0,20200701,71,2,N7538IRS1,CH3OH,5-4,LSB,1.6333,144.3082,1000MHzx2048
p1,20200629,53,1,N7538IRS1,CH3OH,5-4,LSB,1.55372,111.1968,250MHzx8192
p1,20200701,71,1,N7538IRS1,CH3OH,5-4,LSB,1.77981,135.8032,250MHzx8192
p1,20200629,53,2,N7538IRS1,CH3OH,5-4,LSB,1.50195,114.471,1000MHzx2048
p1,20200701,71,2,N7538IRS1,CH3OH,5-4,LSB,1.74488,139.0187,1000MHzx2048
both,20200629,53,1,N7538IRS1,CH3OH,5-4,LSB,1.4828700000000000,115.8369,250MHzx8192
both,20200701,71,1,N7538IRS1,CH3OH,5-4,LSB,1.6893200000000000,139.9949,250MHzx8192
both,20200629,53,2,N7538IRS1,CH3OH,5-4,LSB,1.47652,117.5481,1000MHzx2048
both,20200701,71,2,N7538IRS1,CH3OH,5-4,LSB,1.70433,141.5879,1000MHzx2048
p0,20200627,95,1,W75N,CH3OH,5-4,LSB,4.20328,126.2195,250MHzx8192
p0,20200628,48,1,W75N,CH3OH,5-4,LSB,4.26525,150.5427,250MHzx8192
p0,20200701,27,1,W75N,CH3OH,5-4,LSB,4.23195,165.5988,250MHzx8192
p0,20200627,95,2,W75N,CH3OH,5-4,LSB,4.09309,123.88800000000000,1000MHzx2048
